City,Country,Mobility_Retail_Feb,Mobility_Transit_Feb,Mobility_Workplace_Feb,Mobility_Residential_Feb,Mobility_Retail_Mar,Mobility_Transit_Feb,Mobility_Workplace_Mar,Mobility_Residential_Mar,Mobility_Retail_April,Mobility_Transit_April,Mobility_Workplace_April,Mobility_Residential_April,Response_stringency
Wuhan,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Beijing,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Shanghai,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Hong Kong,Hong Kong,-26,-34,-18,14,-18,-23,-14,9,-18,-23,-14,9,
Singapore,Singapore,-14,-17,-4,8,-14,-18,-3,6,-60,-66,-66,42,
Ho Chi Minh City,Vietnam,-16,-12,1,8,-30,-25,-7,10,-61,-59,-27,18,
Ulaanbaatar,Mongolia,-6,-4,-1,3,-46,-37,-23,9,-18,-13,-7,8,
Lombardy (Region),Italy,2,8,-2,-1,-91,-83,-57,22,-83,-82,-67,34,
Greater London,United Kingdom,-11,-10,-3,2,-24,-24,-7,4,-79,-78,-77,34,
New York (State),United States,3,-4,1,0,-14,-25,-7,4,-59,-69,-61,27,
California (State),United States,1,1,-1,0,-16,-23,-8,6,-45,-51,-52,22,
Texas (State),United States,3,3,1,-1,-9,-7,-7,3,-29,-39,-46,20,
Dublin (County),Ireland,-10,-9,-4,2,-40,-39,-18,9,-75,-78,-75,34,
Madrid,Spain,-1,7,-1,-2,-89,-77,-53,19,-91,-84,-77,36,
Catalonia(County),Spain,2,8,0,-1,-87,-68,-48,16,-87,-80,-70,33,
Bavaria (inc. Munich),Germany,7,13,1,-1,-3,-15,-2,2,-56,-55,-46,18,
Ile-de-France region (inc. Paris),France,-12,4,-8,-1,-53,-24,-17,5,-84,-80,-78,36,
Brussels,Belgium,11,18,1,-1,-70,-44,-37,9,-82,-77,-73,29,
Stockholm (County),Sweden,3,5,-1,1,-28,-32,-12,5,-25,-43,-41,15,
Tokyo,Japan,-2,1,4,1,-10,-24,-3,4,-49,-53,-45,23,
Manila,Philippines,8,5,5,0,-54,-58,-16,15,-82,-91,-80,40,
Maharashtra (inc. Mumbai),India,-3,3,2,0,-17,-11,1,4,-82,-75,-74,35,
Delhi,India,1,6,4,0,-15,-15,1,3,-87,-84,-81,34,
Punjab(inc.Karachi),Pakistan,3,4,2,-1,-4,3,4,1,-56,-48,-46,18,
Qatar,Qatar,-3,1,5,1,-17,-23,-5,9,-55,-58,-39,26,
Istanbul,Turkey,0,-3,6,1,-32,-26,-3,5,-72,-68,-57,29,
Cairo,Egypt,3,7,3,0,-11,-9,-6,3,-60,-50,-38,17,
Jerusalem,Israel,12,20,1,-3,-43,-36,-36,18,-97,-90,-91,25,
Nairobi (County),Kenya,1,6,2,-1,-1,1,6,1,-49,-48,-43,28,
Western Cape (inc. Cape Town),South Africa,-2,-3,0,-1,-12,-13,-1,2,-74,-84,-75,36,
Lagos,Nigeria,6,4,3,0,1,2,1,1,-71,-60,-68,42,
Littoral Region (inc. Douala),Cameroon,1,12,2,0,-,7,2,1,-31,-21,-21,16,
Mexico City,Mexico,6,4,3,-1,-4,-2,1,-1,-61,-61,-59,26,
Sao Paulo (State),Brazil,6,11,8,-1,-5,-3,2,2,-58,-55,-43,21,
Santiago,Chile,-10,-7,-4,0,-3,-4,-3,5,-62,-60,-54,27,
La Paz,Bolivia,7,1,12,0,-29,-23,-6,7,-86,-75,-76,37,
Lima (Region),Peru,12,11,0,-1,-17,-27,-3,4,-67,-81,-57,30,
Buenos Aires,Argentina,6,9,-2,0,-19,-14,-18,11,-86,-74,-72,33,
New South Wales (inc. Sydney),Australia,4,10,3,-1,-3,-17,-2,3,-40,-60,-44,20,
Auckland,New Zealand,14,9,7,1,1,-7,0,3,-87,-90,-78,38,
Al Ahmadi,Kuwait,2,8,5,1,-35,-17,-22,13,-62,-41,-52,31,
Riyadh (Province),Saudi Arabia,-1,-4,2,1,-12,-35,-8,6,-80,-89,-74,36,






























































































